LON;LAT;NAME;;
-189.127.749;-482.755.227;UBERLANDIA, MG ,Brasil;;
-205.394.551;-474.010.979;FRANCA, SP ,Brasil;;
-197.460.372;-479.339.936;UBERABA, MG ,Brasil;;
-185.961.683;-465.150.076;PATOS DE MINAS, MG ,Brasil;;
-189.745.738;-494.600.885;ITUIUTABA, MG ,Brasil;;
-184.166.854;-492.170.785;ITUMBIARA, GO ,Brasil;;
-198.777.714;-449.856.483;NOVA SERRANA, MG ,Brasil;;
-198.590.162;-4.461.021;PARA DE MINAS, MG ,Brasil;;
-208.861.299;-475.853.958;BATATAIS, SP ,Brasil;;
-200.263.494;-489.362.703;FRUTAL, MG ,Brasil;;
-205.850.618;-478.645.776;SAO JOAQUIM DA BARRA, SP ,Brasil;;
-207.172.291;-478.803.129;ORLANDIA, SP ,Brasil;;
-210.275.952;-477.772.027;JARDINOPOLIS, SP ,Brasil;;
-196.766.166;-511.916.824;PARANAIBA, MS ,Brasil;;
-203.358.968;-477.909.635;ITUVERAVA, SP ,Brasil;;
-203.254.581;-483.108.683;GUAIRA, SP ,Brasil;;
-197.270.345;-501.938.389;ITURAMA, MG ,Brasil;;
-207.334.707;-480.595.513;MORRO AGUDO, SP ,Brasil;;
-189.997.131;-463.126.967;CARMO DO PARANAIBA, MG ,Brasil;;
-193.079.509;-489.265.899;PRATA, MG ,Brasil;;
-196.824.436;-44.890.204;PITANGUI, MG ,Brasil;;
-199.241.693;-483.811.173;CONCEICAO DAS ALAGOAS, MG ,Brasil;;
-212.755.425;-4.730.135.320.000.000;CAJURU, SP ,Brasil;;
-185.943.699;-487.025.321;TUPACIGUARA, MG ,Brasil;;
-209.883.226;-47.658.041;BRODOWSKI, SP ,Brasil;;
-201.800.039;-48.030.995;MIGUELOPOLIS, SP ,Brasil;;
-211.899.297;-469.768.603;MONTE SANTO DE MINAS, MG ,Brasil;;
-188.705.155;-488.799.751;MONTE ALEGRE DE MINAS, MG ,Brasil;;
-204.281.678;-478.266.067;GUARA, SP ,Brasil;;
-179.873.275;-469.041.459;VAZANTE, MG ,Brasil;;
-195.340.345;-494.807.685;CAMPINA VERDE, MG ,Brasil;;
-189.965.233;-505.480.764;SAO SIMAO, GO ,Brasil;;
-188.472.545;-501.239.346;SANTA VITORIA, MG ,Brasil;;
-184.158.495;-464.186.194;PRESIDENTE OLEGARIO, MG ,Brasil;;
-19.790.283;-456.820.678;LUZ, MG ,Brasil;;
-187.776.633;-46.405.353;LAGOA FORMOSA, MG ,Brasil;;
-186.828.377;-4.957.065.670.000.000;CAPINOPOLIS, MG ,Brasil;;
-210.228.295;-473.742.097;ALTINOPOLIS, SP ,Brasil;;
-204.403.475;-4.801.509.910.000.000;IPUA, SP ,Brasil;;
-194.494.354;-4.474.817.729.999.990;PAPAGAIOS, MG ,Brasil;;
-196.968.881;-461.704.974;CAMPOS ALTOS, MG ,Brasil;;
-199.018.142;-493.701.088;ITAPAGIPE, MG ,Brasil;;
-191.465.807;-476.783.667;NOVA PONTE, MG ,Brasil;;
-204.656.703;-4.712.594.199.999.990;IBIRACI, MG ,Brasil;;
-193.126.459;-475.269.907;SANTA JULIANA, MG ,Brasil;;
-191.980.409;-462.368.621;RIO PARANAIBA, MG ,Brasil;;
-187.216.992;-4.920.401;CANAPOLIS, MG ,Brasil;;
-201.399.952;-48.701.023;PLANURA, MG ,Brasil;;
-207.700.909;-478.405.251;SALES OLIVEIRA, SP ,Brasil;;
-199.526.866;-450.813.485;PERDIGAO, MG ,Brasil;;
-199.517.981;-4.470.859.189.999.990;IGARATINGA, MG ,Brasil;;
-185.896.484;-491.970.562;CENTRALINA, MG ,Brasil;;
-196.976.981;-50.685.689;CARNEIRINHO, MG ,Brasil;;
-199.720.253;-477.758.412;DELTA, MG ,Brasil;;
-189.125.355;-506.547.789;PARANAIGUARA, GO ,Brasil;;
-181.386.613;-490.422.151;BURITI ALEGRE, GO ,Brasil;;
-17.836.825;-465.212.209;LAGOA GRANDE, MG ,Brasil;;
-199.475.164;-451.661.304;ARAUJOS, MG ,Brasil;;
-184.953.429;-494.738.469;CACHOEIRA DOURADA, GO ,Brasil;;
-201.773.927;-45.708.185;IGUATAMA, MG ,Brasil;;
-19.762.486;-485.714.802;CAMPO FLORIDO, MG ,Brasil;;
-195.127.283;-44.676.539;MARAVILHAS, MG ,Brasil;;
-18.178.724;-4.680.644.359.999.990;LAGAMAR, MG ,Brasil;;
-198.427.527;-454.140.369;MOEMA, MG ,Brasil;;
-195.527.422;-505.780.228;LIMEIRA DO OESTE, MG ,Brasil;;
-20.730.525;-477.525.434;NUPORANGA, SP ,Brasil;;
-210.895.949;-4.715.332.679.999.990;SANTO ANTONIO DA ALEGRIA, SP ,Brasil;;
-19.038.245;-4.791.601.439.999.990;INDIANOPOLIS, MG ,Brasil;;
-184.359.005;-491.854.118;ARAPORA, MG ,Brasil;;
-198.615.751;-497.731.673;SAO FRANCISCO DE SALES, MG ,Brasil;;
-201.760.366;-4.868.810.939.999.990;COLOMBIA, SP ,Brasil;;
