LON,LAT,NAME
-18.89127749,-48.82755227,"UBERLANDIA, MG ,Brasil"
-20.05394551,-47.74010979,"FRANCA, SP ,Brasil"
-19.97460372,-47.79339936,"UBERABA, MG ,Brasil"
-18.85961683,-46.65150076,"PATOS DE MINAS, MG ,Brasil"
-18.89745738,-49.94600885,"ITUIUTABA, MG ,Brasil"
-18.84166854,-49.92170785,"ITUMBIARA, GO ,Brasil"
-19.98777714,-44.49856483,"NOVA SERRANA, MG ,Brasil"
-19.98590162,-44.461021,"PARA DE MINAS, MG ,Brasil"
-20.08861299,-47.75853958,"BATATAIS, SP ,Brasil"
-20.00263494,-48.89362703,"FRUTAL, MG ,Brasil"
-20.05850618,-47.78645776,"SAO JOAQUIM DA BARRA, SP ,Brasil"
-20.07172291,-47.78803129,"ORLANDIA, SP ,Brasil"
-21.10275952,-47.77772027,"JARDINOPOLIS, SP ,Brasil"
-19.96766166,-51.11916824,"PARANAIBA, MS ,Brasil"
-20.03358968,-47.77909635,"ITUVERAVA, SP ,Brasil"
-20.03254581,-48.83108683,"GUAIRA, SP ,Brasil"
-19.97270345,-50.01938389,"ITURAMA, MG ,Brasil"
-20.07334707,-48.80595513,"MORRO AGUDO, SP ,Brasil"
-18.89997131,-46.63126967,"CARMO DO PARANAIBA, MG ,Brasil"
-19.93079509,-48.89265899,"PRATA, MG ,Brasil"
-19.96824436,-44.4890204,"PITANGUI, MG ,Brasil"
-19.99241693,-48.83811173,"CONCEICAO DAS ALAGOAS, MG ,Brasil"
-21.12755425,-47.73013532,"CAJURU, SP ,Brasil"
-18.85943699,-48.87025321,"TUPACIGUARA, MG ,Brasil"
-20.09883226,-47.7658041,"BRODOWSKI, SP ,Brasil"
-20.01800039,-48.8030995,"MIGUELOPOLIS, SP ,Brasil"
-21.11899297,-46.69768603,"MONTE SANTO DE MINAS, MG ,Brasil"
-18.88705155,-48.88799751,"MONTE ALEGRE DE MINAS, MG ,Brasil"
-20.04281678,-47.78266067,"GUARA, SP ,Brasil"
-17.79873275,-46.69041459,"VAZANTE, MG ,Brasil"
-19.95340345,-49.94807685,"CAMPINA VERDE, MG ,Brasil"
-18.89965233,-50.05480764,"SAO SIMAO, GO ,Brasil"
-18.88472545,-50.01239346,"SANTA VITORIA, MG ,Brasil"
-18.84158495,-46.64186194,"PRESIDENTE OLEGARIO, MG ,Brasil"
-19.9790283,-45.56820678,"LUZ, MG ,Brasil"
-18.87776633,-46.6405353,"LAGOA FORMOSA, MG ,Brasil"
-18.86828377,-49.95706567,"CAPINOPOLIS, MG ,Brasil"
-21.10228295,-47.73742097,"ALTINOPOLIS, SP ,Brasil"
-20.04403475,-48.80150991,"IPUA, SP ,Brasil"
-19.94494354,-44.47481772,"PAPAGAIOS, MG ,Brasil"
-19.96968881,-46.61704974,"CAMPOS ALTOS, MG ,Brasil"
